,name,team,age,league,position,apps,minutesPlayed,goal,assistTotal,yellowCard,redCards,passRate,aerialWonPerGame,manOfMatch,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outFielderBlockPerGame,goalOwn,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnOverPerGame,totalPassesPerGame,passSuccess,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame,rating
424,Óscar Trejo,"Rayo Vallecano,",34,La Liga,MF,11,849,2,2,6,0,83.6,0.5,0,1.3,0.2,2.5,0,0.2,0.4,0.2,0,0.8,1.5,1.5,2.8,0,2.3,2.3,31,83.6,0.2,0.8,0.3,6.74
425,Azzedine Ounahi,"Angers,",22,Ligue 1,MF,13,1106,0,0,1,0,88.6,0.4,0,1.4,1.1,0.7,0,0.3,0.7,0,0,1.6,1.2,2.6,1.6,0.1,0.9,1.8,40.8,88.6,0.2,2.2,0.1,6.74
426,Facundo Medina,"Lens,",23,Ligue 1,DF,14,1226,1,1,3,0,89.4,1.1,1,0.6,1,1.2,0.2,1.6,0.6,0.3,0,0.5,0.4,0.8,0.4,0,0.6,0.7,79.1,89.4,0.1,3,0.1,6.74
427,Ola Aina,"Torino,",26,Serie A,DF,7,582,1,0,3,0,77.9,0.8,1,1.3,0.7,1,0,1.4,0.4,0.1,0,0.6,0.7,1.1,1.1,0.1,0.4,0.8,26.2,77.9,0.7,1,0,6.74
428,Alidu Seidu,"Clermont Foot,",22,Ligue 1,DF,14,1215,0,0,4,0,90,0.7,0,1.5,1.8,1.2,0.1,1.9,0.7,0.8,0,0.3,0.4,1.1,1.9,0.1,0.4,1.1,43.5,90,0.4,1.6,0,6.74
429,Nemanja Gudelj,"Sevilla,",31,La Liga,DF,12,1036,2,0,4,0,91.9,1.3,2,1.2,0.8,0.8,0.3,3.5,0.3,1.1,0,1.5,0.2,0,0.9,0,0,0.8,44.3,91.9,0,1.3,0,6.74
430,Vanderson,"Monaco,",21,Ligue 1,DF,9,857,0,1,1,1,81.5,0.8,1,2.1,1.9,1.2,0,0.9,0.5,0.3,0,0.5,0.4,0.9,0.5,0,0.4,0.9,32,81.5,0.5,2.4,0,6.74
431,Cheick Oumar Doucouré,"Crystal Palace,",22,Premier League,MF,12,970,0,1,5,0,87,0.7,0,2.1,1.7,1,0,1,0.8,0.5,0,0.8,0.8,0.3,0.4,0,0.9,0.7,40.3,87,0.1,1.8,0.1,6.74
432,Brice Samba,"Lens,",28,Ligue 1,GK,15,1350,0,0,1,0,72.6,0.2,0,0.1,0,0,0,0.5,0,0,0,0,0.1,0.1,0.1,0,0,0,29.7,72.6,0,6.3,0,6.74
433,Lewis Ferguson,"Bologna,",23,Serie A,MF,6,512,3,0,1,0,81.7,0.9,2,1.2,0.8,1.4,0,1,0.7,0.2,0,1,0.3,0.1,1.4,0,0.4,1.1,24.2,81.7,0.2,0.6,0.1,6.74
434,Martín Zubimendi,"Real Sociedad,",23,La Liga,MF,13,1151,1,2,4,0,84.5,2.4,1,1.6,0.9,1.6,0.1,1.7,0.4,0.6,0,0.4,0.4,0.3,0.8,0.1,0.5,0.6,47.5,84.5,0,2.3,0.1,6.74
435,Emmanuel Agbadou,"Reims,",25,Ligue 1,DF,11,970,0,0,2,2,84.4,1.9,1,2.4,1.1,1.3,0.2,4.3,0.5,0.5,0,0.8,0.2,0.3,0.3,0,0.3,0.8,40.1,84.4,0,3.4,0.3,6.74
436,Edu Expósito,"Espanyol,",26,La Liga,MF,10,781,2,2,0,0,77.3,0.6,1,1.8,0.7,0.8,0,0.9,0.4,0,0,0.8,1.1,0.4,1.2,0,0.4,1.4,22.4,77.3,0.4,1.2,0.1,6.74
437,Federico Baschirotto,"Lecce,",26,Serie A,DF,15,1350,1,0,2,0,75.7,2.4,0,1.1,1.2,0.4,1,5.1,0,0.9,0,0.6,0.1,0,0.3,0,0.1,0.3,36.5,75.7,0.1,3.6,0.1,6.73
438,Lars Stindl,"Borussia M.Gladbach,",34,Bundesliga,MF,8,685,1,5,4,0,78.2,0.4,0,0.6,0.4,1.1,0,0.8,0.4,0.2,0,1.2,1.5,0.3,0.7,0.4,0.5,0.9,23.7,78.2,0.5,0.5,0.2,6.73
439,Johann Lepenant,"Lyon,",20,Ligue 1,MF,9,833,0,0,1,0,88.4,0.8,0,2.4,1.1,1,0,0.8,1.4,0.2,0,0.8,0.3,1.4,0.7,0,0.7,1.4,49.7,88.4,0,2.6,0,6.73
440,Óscar Rodríguez,"Celta Vigo,",24,La Liga,MF,12,1003,2,0,2,0,84.6,0.6,0,1.5,1,1.1,0,0.5,0.4,0.1,0,2,1.1,0.3,1.3,0.1,0.4,1.4,42.9,84.6,0.8,2.5,0,6.73
441,Farès Chaïbi,"Toulouse,",20,Ligue 1,MF,9,835,2,4,1,0,74.5,1.1,0,0.9,0.7,1.2,0,0.5,0.7,0.2,0,1.5,1.1,0.2,0.9,0.2,0.5,1.6,20.5,74.5,0.2,0.7,0.2,6.73
442,Nicolás Domínguez,"Bologna,",24,Serie A,MF,11,971,1,1,3,0,81.1,0.6,1,2.6,0.5,1.7,0,0.3,0.9,0.2,0,1.2,1.1,0.4,1.2,0,0.8,2.4,35.1,81.1,0,1.8,0.3,6.73
443,Thierry Correia,"Valencia,",23,La Liga,DF,14,1214,0,0,3,0,80.5,0.9,0,2.3,1.1,1.6,0.3,2.1,0.6,0.1,0,0.3,0.6,0.5,2.1,0,0.6,1.2,49.4,80.5,1,2.9,0,6.73
444,Montassar Talbi,"Lorient,",24,Ligue 1,DF,15,1350,0,1,0,0,88.7,2.3,0,1.5,0.9,0.7,0.6,4.7,0.3,0.6,0,0.2,0.2,0.2,0.5,0,0.1,0.3,46.2,88.7,0,1.5,0,6.73
445,Bryan Mbeumo,"Brentford,",23,Premier League,MF,15,1134,3,1,3,0,73.4,0.7,0,0.5,0.2,0.6,0,0.4,0.6,0,0,1.9,1,1,0.4,0.2,1.3,1.6,18.1,73.4,0.8,0.7,0.1,6.73
446,Javi Galán,"Celta Vigo,",28,La Liga,DF,14,1256,0,1,2,0,81.6,0.7,2,3.1,0.6,1.4,0,0.9,1.4,0.1,0,0.4,1.3,1.9,2.2,0.3,1.5,1.9,43,81.6,0.8,1.8,0,6.73
447,Arkadiusz Milik,"Juventus,",28,Serie A,MF,7,709,4,0,1,1,80.1,1.6,1,0.4,0,0.8,0,0.6,0.2,0,0,1.7,0.4,0.2,1.1,0.1,0.7,1.6,16.8,80.1,0,0.3,0.1,6.73
448,Mounaïm El Idrissy,"AC Ajaccio,",23,Ligue 1,FW,12,1065,3,0,4,0,73.8,3.1,2,1.1,0.2,2.4,0,0.7,0.6,0,0,1.8,0.4,0.3,2.5,0.9,1.1,2.7,17.4,73.8,0.1,0.3,0,6.73
449,Quentin Merlin,"Nantes,",20,Ligue 1,DF,13,1133,0,1,1,0,80.2,0.7,0,1.5,1.1,0.5,0.1,0.9,1,0.3,0,0.8,1.7,0.8,0.7,0,0.7,1,47.8,80.2,1.8,3.2,0,6.73
450,Philipp Lienhart,"Freiburg,",26,Bundesliga,DF,15,1348,0,0,0,0,86.6,2.1,0,0.6,1.1,0.5,0.4,3.3,0.3,0.3,0,0.3,0.1,0.1,1,0.1,0.1,0.7,62.7,86.6,0,4.6,0.1,6.73
451,Mohammed Salisu,"Southampton,",23,Premier League,DF,14,1260,0,1,4,0,78.9,2.1,0,2.7,1.1,1.3,0.6,5.1,0.4,1.1,1,0.6,0.3,0.5,0.1,0,0.4,0.1,49.7,78.9,0.2,3.3,0.1,6.72
452,Nikola Vlasic,"Torino,",25,Serie A,MF,14,1281,4,2,1,0,79.7,0.8,0,0.9,0.2,0.8,0,0.3,0.4,0,0,2.3,1.6,0.9,0.9,0.5,1.7,3.6,27.9,79.7,0.3,0.5,0,6.72
