name,team,age,league,position,apps,minutesPlayed,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outFielderBlockPerGame,goalOwn,rating
Nicolò Cambiaghi,Empoli,21,Serie A,FW,1,247,0.9,0.2,0.1,0,0.3,0.2,0,0,6.37
Riccardo Saponara,Fiorentina,30,Serie A,MF,4,445,0.3,0.1,0.2,0,0.3,0.2,0,0,6.37
Gianluca Caprari,Monza,29,Serie A,MF,13,971,0.6,0.1,1.1,0,0,0.3,0.1,0,6.37
Philippe Coutinho,Aston Villa,30,Premier League,MF,6,570,0.8,0.2,0.9,0,0,0.3,0,0,6.37
Falaye Sacko,Montpellier,27,Ligue 1,DF,10,882,1.5,1.2,0.7,0.3,1.5,0.3,0.5,1,6.37
Jeison Murillo,Sampdoria,30,Serie A,DF,7,638,1.7,0.6,0.9,0.7,2.6,0.4,0.8,1,6.37
Alex Ferrari,Sampdoria,28,Serie A,DF,10,869,0.8,1.6,1,0.8,2,0.3,0.8,0,6.37
Lucas Boyé,Elche,26,La Liga,MF,9,736,0.8,0.5,1.4,0,1.1,0.3,0.2,0,6.37
Tommaso Pobega,AC Milan,23,Serie A,MF,5,444,1.3,0.7,1.7,0,0.6,0.4,0.2,0,6.37
Steve Cook,Nottingham Forest,31,Premier League,DF,11,959,0.7,1,0.4,0.9,4.2,0.1,0.9,0,6.37
Clément Vidal,AC Ajaccio,22,Ligue 1,DF,6,574,1.2,1.1,0.6,0.2,1.8,0.3,0.7,0,6.37
Enzo Tchato Mbiayi,Montpellier,20,Ligue 1,DF,7,690,1.2,0.3,0.4,0.1,1.8,0.5,0,0,6.37
Grejohn Kyei,Clermont Foot,27,Ligue 1,FW,6,596,0.3,0.1,1.6,0,0.3,0.1,0.1,0,6.37
Mathieu Coutadeur,AC Ajaccio,36,Ligue 1,MF,9,805,0.9,0.8,0.2,0,0.8,0.3,0,0,6.37
Ilia Gruev,Werder Bremen,22,Bundesliga,MF,9,718,1.4,0.8,1.5,0.1,0.6,0.5,0.3,0,6.37
Kevin Trapp,Eintracht Frankfurt,32,Bundesliga,GK,15,1350,0,0,0,0,0.7,0,0,0,6.37
Cristian Gamboa,Bochum,33,Bundesliga,DF,15,1279,2.5,0.9,0.9,0.2,1.9,0.5,0.4,1,6.37
Nicolas Haas,Empoli,26,Serie A,MF,9,748,1.7,0.3,1.3,0,1.1,0.7,0.2,0,6.37
Mahdi Camara,Brest,24,Ligue 1,DF,7,585,1.8,1.1,0.8,0,0.2,0.7,0.1,0,6.36
Romain Hamouma,AC Ajaccio,35,Ligue 1,MF,8,598,0.4,0.1,1,0,0,0.2,0,0,6.36
Mehdi Léris,Sampdoria,24,Serie A,MF,10,850,2.3,0.7,1.6,0.1,0.3,0.8,0,0,6.36
Isaac Success,Udinese,26,Serie A,MF,8,760,0.3,0.1,1.2,0,0.7,0.1,0.1,0,6.36
Leandro Barreiro,Mainz,22,Bundesliga,MF,7,666,0.9,0.8,0.7,0,0.4,0.3,0.3,0,6.36
Juan Cruz,Osasuna,30,La Liga,DF,11,1004,1.1,0.5,0.7,0.4,1.8,0.2,0.3,0,6.36
Largie Ramazani,Almeria,21,La Liga,FW,9,800,0.5,0.4,1.3,0,0,0.5,0,0,6.36
Martin Hongla,Verona,24,Serie A,DF,6,524,0.9,0.7,1.2,0,0.9,0,0.1,0,6.36
Aritz Elustondo,Real Sociedad,28,La Liga,DF,7,619,1.2,0.8,1.1,0.4,1.5,0.1,0.5,0,6.36
Lewis O'Brien,Nottingham Forest,24,Premier League,DF,6,524,1.5,0.5,0.4,0.1,0.5,0.4,0.2,0,6.35
Stanley Nsoki,Hoffenheim,23,Bundesliga,DF,7,644,0.6,1.3,0.8,0.6,1.9,0.4,0.4,0,6.35
Raúl García,Athletic Bilbao,36,La Liga,MF,2,348,0.5,0.1,0.3,0,0.3,0.2,0.1,0,6.35
Adam Armstrong,Southampton,25,Premier League,MF,11,879,0.6,0.1,0.6,0,0.2,0.3,0.2,0,6.35
Jamie Vardy,Leicester,35,Premier League,MF,8,750,0.3,0.1,0.5,0,1.1,0.1,0,0,6.35
Gauthier Gallon,Troyes,29,Ligue 1,GK,12,1080,0.1,0.2,0.1,0,0.7,0.1,0,0,6.35
Jean-Paul Boëtius,Hertha Berlin,28,Bundesliga,MF,5,572,1.4,0.5,0.5,0.1,0.4,0.5,0,0,6.35
Arnaud Souquet,Montpellier,30,Ligue 1,DF,3,339,2,0.4,0.6,0,0.3,0.3,0.3,0,6.35
Remo Freuler,Nottingham Forest,30,Premier League,MF,9,834,1.6,1.1,1,0,1.5,0.5,0.3,0,6.35
