name,team,age,league,position,apps,minutesPlayed,goal,assistTotal,yellowCard,redCards,shotsPerGame,passRate,aerialWonPerGame,manOfMatch,rating
Moussa Diarra,Toulouse,22,Ligue 1,DF,5,551,0,0,0,0,0.1,84.9,0.5,0,6.22
Tom Cairney,Fulham,31,Premier League,MF,1,330,0,0,0,0,0.5,89.6,0.2,0,6.22
Kingsley Schindler,FC Koln,29,Bundesliga,DF,3,480,0,0,3,0,0,66.3,0.9,0,6.22
Radamel Falcao,Rayo Vallecano,36,La Liga,FW,3,398,2,0,2,0,1.1,73.4,1,0,6.22
Rafael Borré,Eintracht Frankfurt,27,Bundesliga,FW,4,400,1,1,0,0,0.7,74.8,0.3,0,6.22
Vasilios Lampropoulos,Bochum,32,Bundesliga,DF,5,475,0,0,1,0,0.4,67.4,1,0,6.22
Luca Pfeiffer,Stuttgart,26,Bundesliga,FW,4,404,0,0,1,1,0.8,61.5,2,0,6.22
Sergi Guardiola,Real Valladolid,31,La Liga,FW,6,381,0,0,0,0,0.9,59.5,0.7,0,6.22
Carles Pérez,Celta Vigo,24,La Liga,MF,7,599,0,2,1,0,0.9,89.8,0.1,0,6.22
Lorenzo De Silvestri,Bologna,34,Serie A,DF,5,517,0,0,1,0,0.4,68.4,1,0,6.22
Ibrahima Koné,Lorient,23,Ligue 1,FW,2,294,2,0,2,0,0.2,59.2,1.6,0,6.22
M'Baye Niang,Auxerre,27,Ligue 1,MF,7,561,2,0,1,2,1.3,65,3.2,0,6.22
Pietro Pellegri,Torino,21,Serie A,FW,4,370,1,0,2,0,0.5,76.4,0.7,0,6.21
Toma Basic,Lazio,26,Serie A,MF,3,274,0,0,1,0,0.5,81.3,0.5,0,6.21
Ondrej Duda,FC Koln,28,Bundesliga,MF,9,694,0,0,4,0,0.9,77.3,0.4,0,6.21
Robin Gosens,Inter,28,Serie A,DF,1,235,1,0,1,0,0.3,84,0.2,0,6.21
Tommaso Augello,Sampdoria,28,Serie A,DF,12,1090,0,2,1,0,0.2,78.2,1.1,0,6.21
Yayah Kallon,Verona,21,Serie A,FW,3,404,1,0,0,0,0.7,73.1,0.3,0,6.21
Lucas Pérez,Cadiz,34,La Liga,MF,5,589,2,0,2,0,1.2,83.4,0.2,0,6.2
Benjamin Lecomte,Espanyol,31,La Liga,GK,10,900,0,0,1,1,0,63.2,0,1,6.2
Jean-Philippe Mateta,Crystal Palace,25,Premier League,FW,2,276,1,0,2,0,1,67.2,0.9,0,6.2
Hugo Duro,Valencia,23,La Liga,MF,4,390,1,0,0,0,1.1,74.7,0.4,0,6.2
Mattia Destro,Empoli,31,Serie A,FW,6,459,1,0,2,0,1.8,55.2,0.6,0,6.2
Rodrigo Battaglia,Mallorca,31,La Liga,MF,7,594,0,0,5,0,0.2,83.3,0.8,0,6.2
Antonio Sánchez,Mallorca,25,La Liga,MF,7,579,0,0,4,0,0.6,81.7,0.3,0,6.2
Rubén Alcaraz,Cadiz,31,La Liga,MF,5,513,0,0,3,1,0.9,79.2,0.7,0,6.2
Abdou Harroui,Sassuolo,24,Serie A,MF,2,283,1,0,1,0,0.8,82.4,0.3,0,6.2
Eddie Nketiah,Arsenal,23,Premier League,FW,0,142,0,0,0,0,0.7,84,0.2,0,6.2
Kelechi Iheanacho,Leicester,26,Premier League,MF,1,211,1,1,0,0,1,81.4,0,0,6.19
Christian Gytkjær,Monza,32,Serie A,FW,2,331,1,0,0,0,0.8,67.9,0.4,0,6.19
Ryan Gravenberch,Bayern,20,Bundesliga,MF,0,175,0,0,1,0,0.6,85.9,0,0,6.19
Giacomo Quagliata,Cremonese,22,Serie A,DF,3,407,0,0,0,0,0.8,72,0,0,6.19
Kevin Lasagna,Verona,30,Serie A,MF,9,844,1,2,1,0,2.5,57.8,0.5,0,6.19
Jesse Lingard,Nottingham Forest,29,Premier League,MF,10,814,0,0,1,0,0.8,80,0.1,0,6.19
Arne Maier,Augsburg,23,Bundesliga,MF,6,530,0,0,0,0,0.8,75.8,0.4,0,6.19
Dimitrios Nikolaou,Spezia,24,Serie A,DF,13,1149,0,0,3,1,0.4,81.5,0.6,0,6.19
Jacob Bruun Larsen,Hoffenheim,24,Bundesliga,MF,3,290,1,0,0,0,0.5,75,0.2,0,6.19
Shon Weissman,Real Valladolid,26,La Liga,FW,5,559,1,0,0,0,1.3,77.4,0.4,0,6.19
Aleix Vidal,Espanyol,33,La Liga,DF,4,448,0,0,3,0,0.2,77.1,0.2,0,6.19
Silvère Ganvoula,Bochum,26,Bundesliga,FW,0,146,0,0,1,0,0.8,58.3,1.4,0,6.19
Ibrahima Diallo,Southampton,23,Premier League,MF,6,452,0,0,1,0,0.3,80.1,0.9,0,6.19
Daniel Ciofani,Cremonese,37,Serie A,FW,2,238,2,0,0,0,0.8,54.7,1.3,0,6.18
Nicolás Melamed,Espanyol,21,La Liga,MF,3,176,0,0,2,0,0.3,83.6,0.2,0,6.18
Jordan Larsson,Schalke,25,Bundesliga,MF,3,336,0,0,0,0,1,74.4,0.7,0,6.17
Tete Morente,Elche,26,La Liga,MF,8,719,0,0,3,0,1,84.7,0.5,0,6.17
Igor Julio,Fiorentina,24,Serie A,DF,8,724,0,0,2,1,0.2,90.6,1.6,0,6.17
Emmanuel Dennis,Nottingham Forest,25,Premier League,MF,3,342,1,1,2,0,0.9,73.8,0.6,0,6.16
Ismail Jakobs,Monaco,23,Ligue 1,DF,3,334,0,0,1,0,0.3,76.3,0.8,0,6.16
Sada Thioub,Angers,27,Ligue 1,MF,4,418,0,1,2,0,0.2,82.9,0.1,0,6.16
Tariq Lamptey,Brighton,22,Premier League,DF,0,181,0,0,1,0,0.1,81.7,0.1,0,6.16
Emmanuel Gyasi,Spezia,28,Serie A,MF,13,1045,0,0,4,0,1.3,81.1,0.5,0,6.16
Youssouf M'Changama,Auxerre,32,Ligue 1,MF,3,294,0,0,0,0,0.2,87.1,0.1,0,6.16
Mohamed Bayo,Lille,24,Ligue 1,FW,2,211,0,0,0,0,0.7,56.8,0.4,0,6.16
Youssef En-Nesyri,Sevilla,25,La Liga,FW,2,354,0,0,1,0,1.6,56.6,1.5,0,6.16
Rémy Dugimont,Auxerre,36,Ligue 1,FW,0,101,0,1,1,0,0.4,67.8,0.8,0,6.16
Francesco Caputo,Sampdoria,35,Serie A,FW,13,1100,1,0,0,0,1.3,71.9,0.4,0,6.16
Matteo Cancellieri,Lazio,20,Serie A,FW,1,184,0,0,1,0,0.3,76.9,0.3,0,6.15
