name,team,age,position,apps,minutesPlayed,shotsTotal,shotOboxTotal,shotSixYardBox,shotPenaltyArea,rating
Iván Balliu,"Rayo Vallecano,",30,", D(R),M(R)",14,1260,0.3,0.1,0,0.1,6.54
Sandi Lovric,"Udinese,",24,", AM(C)",14,770,1.9,1.2,0,0.7,6.54
Christopher Trimmel,"Union Berlin,",35,", D(CR),M(R)",13,927,0.5,0.2,0,0.3,6.54
Maxime Le Marchand,"Strasbourg,",33,", D(CL)",13,971,0.3,0.2,0,0.2,6.54
Danny Ward,"Leicester,",29,", GK",15,1350,0,0,0,0,6.54
Óscar Gil,"Espanyol,",24,", D(R)",11,870,0.5,0.2,0,0.3,6.54
David Alaba,"Real Madrid,",30,", D(CL),M(CL)",14,1167,0.6,0.4,0.1,0.2,6.54
Naouirou Ahamada,"VfB Stuttgart,",20,", M(C)",15,1241,1,0.7,0,0.3,6.54
Noah Fadiga,"Brest,",23,", D(R)",9,655,0.8,0.1,0,0.7,6.54
Amine Harit,"Marseille,",25,", AM(CLR),FW",10,515,0.6,0.3,0,0.3,6.54
Aitor Ruibal,"Real Betis,",26,", D(R),M(LR)",13,558,0.5,0.2,0,0.3,6.54
Tyrone Mings,"Aston Villa,",29,", D(CL)",13,1170,0.1,0,0,0.1,6.54
David de Gea,"Manchester United,",32,", GK",14,1260,0,0,0,0,6.54
Fernando Pacheco,"Almeria,",30,", GK",1,90,0,0,0,0,6.54
Ronaël Pierre-Gabriel,"Strasbourg,",24,", D(CLR),M(R)",13,636,0.2,0,0,0.2,6.54
Conor Coady,"Everton,",29,", D(CR),DMC",14,1251,0.2,0,0.1,0.1,6.54
Yassine Bounou,"Sevilla,",31,", GK",13,1037,0,0,0,0,6.54
Scott McTominay,"Manchester United,",25,", D(C),DMC",12,637,0.5,0.1,0.2,0.3,6.54
Julián Álvarez,"Manchester City,",22,", AM(R),FW",12,358,0.9,0.3,0,0.7,6.54
Alessandro Bastoni,"Inter,",23,", D(C)",11,732,0.4,0.1,0.1,0.2,6.54
Omar Marmoush,"Wolfsburg,",23,", AM(L),FW",15,689,1.6,0.4,0,1.2,6.54
Kiliann Sildillia,"Freiburg,",20,", D(R)",14,1160,0.4,0.2,0,0.2,6.54
Colin Dagba,"Strasbourg,",24,", D(R),M(R)",9,465,0.2,0,0,0.2,6.54
Rodrigo De Paul,"Atletico Madrid,",28,", AM(CLR),FW",12,674,0.7,0.6,0,0.1,6.54
Jonathan Tah,"Bayer Leverkusen,",26,", D(C)",15,1221,0.4,0,0.1,0.3,6.54
Martín Montoya,"Real Betis,",31,", D(LR),M(R)",3,186,0,0,0,0,6.54
Matías Vecino,"Lazio,",31,", M(C)",14,814,1.1,0.3,0.1,0.6,6.54
Lilian Brassier,"Brest,",23,", D(CL)",14,1202,0.4,0.1,0,0.3,6.54
Yahia Fofana,"Angers,",22,", GK",8,720,0,0,0,0,6.54
Matteo Darmian,"Inter,",33,", D(CLR),M(LR)",10,502,0,0,0,0,6.54
Jeffrey Schlupp,"Crystal Palace,",29,", D(L),M(CLR)",14,1096,0.9,0.4,0,0.5,6.54
Péter Gulácsi,"RB Leipzig,",32,", GK",6,540,0,0,0,0,6.54
Kristijan Jakic,"Eintracht Frankfurt,",25,", D(CR),DMC",14,1011,0.4,0.2,0.1,0.1,6.53
Lucas Chevalier,"Lille,",21,", GK",9,810,0,0,0,0,6.53
Maxime Gonalons,"Clermont Foot,",33,", D(C),M(C)",9,534,0.3,0.2,0.1,0,6.53
Mohamed Youssouf,"AC Ajaccio,",34,", D(R)",11,844,0.1,0.1,0,0,6.53
Conor Gallagher,"Chelsea,",22,", AM(C)",12,501,0.7,0.3,0,0.4,6.53
Fabio Depaoli,"Sampdoria,",25,", D(R),DMC,M(LR)",3,134,0.7,0,0,0.7,6.53
Serhou Guirassy,"VfB Stuttgart,",26,", AM(L),FW",10,780,2,0.4,0.4,1.2,6.53
Marvin Friedrich,"Borussia M.Gladbach,",26,", D(C)",14,961,0.5,0.1,0.1,0.4,6.53
Lovro Majer,"Rennes,",24,", AM(CR)",13,566,0.9,0.6,0,0.3,6.53
Davinson Sánchez,"Tottenham,",26,", D(C)",10,530,0.3,0,0.2,0.1,6.53
Julien Ponceau,"Lorient,",22,", AM(C)",12,773,0.6,0.3,0,0.3,6.53
Ruben Loftus-Cheek,"Chelsea,",26,", M(CLR)",14,958,0.6,0.4,0,0.3,6.53
Kevin Vázquez,"Celta Vigo,",29,", D(R)",1,72,0,0,0,0,6.53
Ben Johnson,"West Ham,",22,", D(CLR),M(L)",7,489,0,0,0,0,6.53
Ryan Yates,"Nottingham Forest,",25,", DMC",13,1034,1.3,0.5,0.2,0.7,6.53
Josh Dasilva,"Brentford,",24,", M(C)",15,687,0.6,0.4,0,0.2,6.53
Xeka,"Rennes,",28,", M(C)",6,435,0.5,0.3,0,0.2,6.53
Sam Greenwood,"Leeds,",20,", Forward",6,185,1.5,1.2,0,0.3,6.53
Luis Muriel,"Atalanta,",31,", AM(CL),FW",9,524,1,0.6,0.1,0.3,6.53
Salih Özcan,"Borussia Dortmund,",24,", M(C)",12,889,0.1,0,0,0.1,6.53
